date,open,close,high,low,volume,money,change,adjclose,symbol
2024-12-27 00:00:00,5892.69,5899.17,5975.79,5881.72,179085498.0,236680633735.7,1.6,5899.17,sh000905
2024-12-30 00:00:00,5890.46,5898.88,5928.57,5867.85,155565586.0,196182578970.3,1.03,5898.88,sh000905
2024-12-31 00:00:00,5902.03,5725.73,5905.46,5725.73,182158855.0,217194009078.8,3.05,5725.73,sh000905
2025-01-02 00:00:00,5717.92,5545.82,5722.11,5498.82,193763157.0,220078999057.0,3.9,5545.82,sh000905
2025-01-03 00:00:00,5552.75,5427.8,5581.4,5419.74,174077310.0,187233075270.9,2.91,5427.8,sh000905
2025-01-06 00:00:00,5421.07,5427.1,5482.63,5384.33,146265658.0,156743673376.1,1.81,5427.1,sh000905
2025-01-07 00:00:00,5429.17,5484.68,5485.58,5405.13,145065278.0,159836326878.2,1.48,5484.68,sh000905
2025-01-08 00:00:00,5462.32,5461.59,5501.66,5326.93,163849915.0,181141237075.9,3.19,5461.59,sh000905
2025-01-09 00:00:00,5437.81,5456.59,5493.68,5436.7,129832627.0,156798867820.6,1.04,5456.59,sh000905
2025-01-10 00:00:00,5449.0,5369.28,5496.38,5369.28,130179553.0,159984103633.2,2.33,5369.28,sh000905
2025-01-13 00:00:00,5319.7,5381.7,5422.01,5319.27,119682937.0,139406540969.0,1.91,5381.7,sh000905
2025-01-14 00:00:00,5393.76,5572.27,5582.84,5378.59,172142860.0,208083727936.2,3.8,5572.27,sh000905
2025-01-15 00:00:00,5559.58,5522.46,5569.19,5509.58,138393243.0,169060453013.4,1.07,5522.46,sh000905
2025-01-16 00:00:00,5546.7,5545.63,5633.85,5508.91,149318085.0,182995873631.7,2.26,5545.63,sh000905
2025-01-17 00:00:00,5524.21,5587.29,5621.94,5519.41,126691174.0,164437435727.2,1.85,5587.29,sh000905
2025-01-20 00:00:00,5621.92,5614.33,5665.18,5598.16,135712507.0,173426107632.4,1.2,5614.33,sh000905
2025-01-21 00:00:00,5639.6,5633.92,5642.92,5573.5,126491300.0,170909135202.8,1.24,5633.92,sh000905
2025-01-22 00:00:00,5606.85,5607.06,5618.58,5567.78,115374996.0,158106585548.6,0.9,5607.06,sh000905
2025-01-23 00:00:00,5659.37,5584.25,5717.69,5584.25,163419987.0,203633761249.2,2.38,5584.25,sh000905
2025-01-24 00:00:00,5570.48,5649.95,5660.43,5570.48,139438058.0,180858845316.0,1.61,5649.95,sh000905
2025-01-27 00:00:00,5660.48,5589.34,5676.03,5589.34,136546056.0,163085841547.7,1.53,5589.34,sh000905
2025-02-05 00:00:00,5643.17,5614.39,5646.04,5588.56,155674141.0,214999512244.8,1.03,5614.39,sh000905
2025-02-06 00:00:00,5606.87,5747.9,5749.02,5597.32,181428193.0,257122087039.6,2.7,5747.9,sh000905
